1250 1126
143	0  2  8  1  0  0  0  0
119	0  2  8  2  0  0  0  0
92	0  3  6  3  0  0  0  0
76	0  1 10  2  0  0  0  0
67	0  4  4  3  0  0  0  0
66	0  3  6  4  0  0  0  0
61	0  2  8  0  0  0  0  0
56	0  3  6  1  0  0  0  0
54	0  3  6  2  0  0  0  0
45	0  4  4  4  0  0  0  0
42	0  0 12  0  0  0  0  0
30	0  4  4  2  0  0  0  0
30	0  2  8  3  0  0  0  0
28	0  1 10  3  0  0  0  0
25	0  3  6  0  0  0  0  0
20	0  4  4  6  0  0  0  0
20	0  4  4  5  0  0  0  0
19	0  3  6  5  0  0  0  0
18	0  2  8  4  0  0  0  0
13	0  3  7  2  1  0  0  0
12	1  2  5  4  0  0  0  0
11	0  1 10  4  0  0  0  0
11	0  0 12  2  0  0  0  0
10	0  5  2  5  0  0  0  0
9	0  4  5  4  1  0  0  0
8	1  3  4  3  1  0  0  0
8	0  4  5  3  1  0  0  0
8	0  3  7  3  1  0  0  0
7	1  2  5  3  0  0  0  0
6	1  3  3  4  0  0  0  0
6	0  4  5  2  1  0  0  0
6	0  2  8  5  0  0  0  0
